id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
3797,Fremennik hat,"Cosmetics,Mage","Cosmetics,Mage",no,medium,Fashion hat kept Mage for its real +3 magic bonus,Yes,
3799,Fremennik gloves,Melee,Cosmetics,yes,medium,Fashion line normalized to Cosmetics,Yes,
4069,Decorative armour,"Cosmetics,Melee,Misc","Cosmetics,Melee",yes,medium,"Castle Wars decorative armour: Cosmetics+Melee, dropped Misc",Yes,
4068,Decorative sword,"Melee,Misc","Cosmetics,Melee",yes,medium,Decorative reward weapon: Cosmetics+Melee,Yes,
4503,Decorative sword,"Melee,Misc","Cosmetics,Melee",yes,medium,White decorative weapon,Yes,
4507,Decorative shield,"Melee,Misc","Cosmetics,Melee",yes,medium,White decorative shield,Yes,
3853,Games necklace(8),Misc,Teleports,yes,high,Teleport jewelry moved to Teleports,Yes,
4251,Ectophial,"Misc,Quests,Teleports",Teleports,yes,high,Reusable Ectofuntus teleport,Yes,
3690,Enchanted lyre,"Misc,Quests",Teleports,yes,medium,"Rellekka teleport, usable post-quest",Yes,
3691,Enchanted lyre(1),"Misc,Quests",Teleports,yes,medium,Charged Fremennik teleport,Yes,
3211,Limestone,"Construction,Crafting,Mining + Smithing","Construction,Crafting",yes,high,Mined but not smelted; dropped Mining+Smithing (Clay precedent),Yes,
3420,Limestone brick,"Construction,Crafting",Construction,yes,medium,Crafting product consumed by Construction; dropped Crafting,Yes,
3327,Myre snelm,"Crafting,Melee",Melee,yes,medium,Finished crafted helm to worn tab; shell stays Crafting,Yes,
3385,Splitbark helm,"Crafting,Mage",Mage,yes,medium,Finished crafted magic armour; bark/cloth are the inputs,Yes,
3239,Bark,"Crafting,Fletching,Mage",Crafting,yes,medium,WC product consumed by Crafting (splitbark); dropped Fletching/Mage,Yes,
3470,Fine cloth,"Crafting,Mage",Crafting,yes,high,"Crafting material, not worn; dropped Mage",Yes,
4207,Crystal weapon seed,"Crafting,Range",Crafting,yes,medium,Crafting material sung into crystal weapons; dropped Range,Yes,
3204,Dragon halberd,"Melee,Quests",Melee,yes,high,Quest-locked but general combat; by function,Yes,
3105,Climbing boots,"Melee,Quests",Melee,yes,medium,Usable generally as strength boots; dropped Quests,Yes,
3758,Fremennik shield,"Melee,Quests",Melee,yes,high,Quest-locked but general combat shield,Yes,
4212,New crystal bow,"Quests,Range",Range,yes,medium,Quest-locked but general ranged weapon; dropped Quests,Yes,
4081,Salve amulet,"Melee,Quests,Slayer","Melee,Slayer",yes,medium,Permanent anti-undead combat amulet; dropped Quests,Yes,
4502,Bearhead,Quests,Melee,yes,medium,Usable head armour from Mountain Daughter; dropped Quests,Yes,
3153,Karambwan paste,"Herblore,Quests",Quests,yes,medium,"Spear poison/quest use; no Herblore xp, dropped Herblore",Yes,
3155,Karambwanji paste,"Fishing,Quests",Quests,yes,medium,Quest-only intermediate; dropped Fishing,Yes,
3157,Karambwan vessel,"Fishing,Quests",Fishing,yes,high,Fishing tool used long after quest; dropped Quests,Yes,
3136,Cell key 1,"Misc,Quests",Quests,yes,medium,Quest-only key; dropped Misc,Yes,
4184,Cavern key,"Misc,Quests",Quests,yes,medium,Quest-only key; dropped Misc,Yes,
3745,Seer's key,"Misc,Quests",Quests,yes,medium,Quest-only key; dropped Misc,Yes,
3271,Compost bin,Farming,Misc,yes,medium,Unobtainable interface item; dropped Farming,Yes,
3904,"(sliding button, blank name)",Quests,Misc,yes,medium,Unobtainable puzzle-interface button; moved to Misc,Yes,
3325,Vampyre dust,"Agility + Thieving,Prayer",Agility + Thieving,yes,medium,Hallowed Sepulchre (Agility) use; dropped Prayer,Yes,
4202,Ring of charos,Quests,Misc,yes,medium,"Broad NPC-charm utility ring, not quest-only",Yes,
3416,Serum 208 (4),"Herblore,Quests",Quests,yes,medium,Flame-converted (no Herblore xp); dropped Herblore,Yes,
3408,Serum 207 (4),"Herblore,Quests","Herblore,Quests",no,medium,Made via Herblore (50xp) and Shades content; kept both,Yes,
3424,Olive oil(3),"Prayer,Quests","Prayer,Woodcutting + Firemaking",yes,medium,Normalized to Shades cremation chain; dropped Quests,Yes,
3438,Pyre logs,"Prayer,Woodcutting + Firemaking","Prayer,Woodcutting + Firemaking",no,high,Cremation chain anchor (Firemaking+Prayer),Yes,
3801,Keg of beer,Melee,"Cooking,Melee",yes,medium,Ale boost-drink rule: added Cooking,Yes,
4417,Guthix rest(4),"Herblore,Melee","Herblore,Melee",no,medium,Herb tea heal/cure-poison; tab choice debatable,Yes,
4089,Mystic hat,Mage,Mage,no,high,Magic armour anchor (unchanged),Yes,
3190,Bronze halberd,Melee,Melee,no,high,Melee weapon anchor (unchanged),Yes,
4255,Bonemeal,Prayer,Prayer,no,high,Ectofuntus prayer anchor (unchanged),Yes,
3490,Clue scroll (easy),Misc,Misc,no,high,Clue scroll anchor (unchanged),Yes,
4131,Rune boots,Melee,Melee,no,high,Melee armour anchor (unchanged),Yes,
3024,Super restore(4),"Herblore,Prayer,Slayer","Herblore,Prayer,Slayer",no,high,Restore potion anchor (unchanged),Yes,
4151,Abyssal whip,"Melee,Slayer","Melee,Slayer",no,medium,Slayer-drop weapon kept Slayer (debatable),Yes,
4160,Broad arrows,"Fletching,Range,Slayer","Fletching,Range,Slayer",no,high,Slayer ammo anchor (unchanged),Yes,
3138,Potato cactus,"Farming,Herblore","Farming,Herblore",no,high,Farmed Herblore secondary (unchanged),Yes,
4298,Ham shirt,"Agility + Thieving,Cosmetics","Agility + Thieving,Cosmetics",no,medium,H.A.M. thieving disguise outfit (function+outfit),Yes,
