id,name,old_tabs,new_tabs,changed,rationale,confidence
7934,"Field ration","Cooking","Cooking",no,"Bought healing food (heals 10, below the 12 combat-food threshold) -> Cooking only.",high
7936,"Pure essence","Runecraft","Runecraft",no,"Raw Runecraft essence -> Runecraft (matches Rune/Daeyalt/Guardian essence convention; mining tab omitted by convention).",high
7938,"Dark essence fragments","Crafting,Runecraft","Crafting,Runecraft",no,"Chiselled from dark essence blocks (Crafting) and used to craft blood/soul runes (Runecraft) -> Crafting, Runecraft.",high
7939,"Tortoise shell","Crafting","Crafting",no,"Sold to Barlak for Crafting XP -> Crafting.",medium
7941,"Iron sheet","Quests","Mining + Smithing,Quests",yes,"Smithed (20 Smithing) iron sheet to repair the Piscatoris wall in Swan Song -> Mining + Smithing, Quests (matches fresh-monkfish quest-skill precedent; flagged).",medium
7942,"Fresh monkfish","Fishing,Quests","Fishing,Quests",no,"Monkfish caught during Swan Song -> Fishing, Quests.",high
7944,"Raw monkfish","Cooking,Fishing","Cooking,Fishing",no,"Fished (62 Fishing) and cooked into monkfish -> Cooking, Fishing.",high
7946,"Monkfish","Melee,Slayer","Cooking,Mage,Melee,Range,Slayer",yes,"Cooked high-heal combat food (heals 16, >=12 threshold) eaten in any combat style -> Cooking + all four combat tabs; corrected the erroneous Melee,Slayer tag (matches Swordfish/Lobster/Shark; flagged).",high
7948,"Burnt monkfish","Cooking","Cooking",no,"Burnt Cooking by-product -> Cooking.",high
7950,"Bone seeds","Quests","Quests",no,"Swan Song quest item (skeleton-mage army) -> Quests.",high
7951,"Herman's book","Quests","Quests",no,"Swan Song quest book -> Quests.",high
7954,"Burnt shrimp","Cooking","Cooking",no,"Burnt Cooking by-product -> Cooking.",high
7956,"Casket","Quests","Quests",no,"Pirate's Treasure quest reward chest -> Quests.",high
7957,"White apron","Quests","Quests",no,"Unobtainable display apron (quest item flag) -> Quests; Cosmetics/Misc candidate flagged.",medium
7958,"Mining prop","Quests","Quests",no,"Royal Trouble quest prop (despite the name, no Mining use) -> Quests.",high
7959,"Heavy box","Quests","Quests",no,"Royal Trouble quest item -> Quests.",high
7960,"Empty box","Misc","Misc",no,"Post-quest useless empty box -> Misc.",high
7961,"Burnt diary","Quests","Quests",no,"Royal Trouble quest book -> Quests.",high
