id,name,from_tabs,to_tabs,reason,source
1897,"Chocolate cake","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 5 per slice, so Cooking only.",matt-audit-batch-002
1969,"Spinach roll","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 2, so Cooking only.",matt-audit-batch-002
1971,"Kebab","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; small variable heal under 12, so Cooking only.",matt-audit-batch-002
1977,"Chocolatey milk","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 5, so Cooking only.",matt-audit-batch-002
1993,"Jug of wine","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2003,"Stew","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2034,"Premade fr' blast","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 9, so Cooking only.",matt-audit-batch-002
2036,"Premade p' punch","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 9, so Cooking only.",matt-audit-batch-002
2048,"Pineapple punch","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 9, so Cooking only.",matt-audit-batch-002
2084,"Fruit blast","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 9, so Cooking only.",matt-audit-batch-002
2140,"Cooked chicken","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 3, so Cooking only.",matt-audit-batch-002
2142,"Cooked meat","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 3, so Cooking only.",matt-audit-batch-002
2149,"Lava eel","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2205,"Worm crunchies","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 8, so Cooking only.",matt-audit-batch-002
2209,"Chocchip crunchies","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 7, so Cooking only.",matt-audit-batch-002
2213,"Spicy crunchies","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 7, so Cooking only.",matt-audit-batch-002
2217,"Toad crunchies","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 8, so Cooking only.",matt-audit-batch-002
2223,"Premade c+t batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2225,"Premade fr't batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2227,"Premade veg batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2237,"Premade w'm crun'","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 8, so Cooking only.",matt-audit-batch-002
2239,"Premade ch' crunch","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 7, so Cooking only.",matt-audit-batch-002
2241,"Premade s'y crunch","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 7, so Cooking only.",matt-audit-batch-002
2243,"Premade t'd crunch","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 8, so Cooking only.",matt-audit-batch-002
2259,"Cheese+tom batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2277,"Fruit batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2281,"Vegetable batta","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 11, so Cooking only.",matt-audit-batch-002
2309,"Bread","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 5, so Cooking only.",matt-audit-batch-002
2325,"Redberry pie","Cooking,Melee,Range,Mage,Slayer","Cooking","12+ heal threshold; heals 10, so Cooking only.",matt-audit-batch-002
1539,"Steel nails","Construction","Construction,Fletching","Re-scan from batch-3 nails: steel nails also fletch steel brutal arrows, so added Fletching for consistency with the nail family.",re-scan-batch-003
