id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
1103,Bronze chainbody,"Melee,Mining + Smithing",Melee,yes,high,Finished smithed melee armour leaves Mining + Smithing for Melee.,Yes,
1187,Dragon sq shield,"Melee,Quests",Melee,yes,medium,"A strong tradeable melee shield with genuine use, so Melee; dropped Quests.",Yes,
1267,Iron pickaxe,"Melee,Mining + Smithing",Mining + Smithing,yes,medium,"A Mining tool; primary use is mining, so Mining + Smithing; dropped Melee.",Yes,
1349,Iron axe,"Melee,Mining + Smithing,Woodcutting + Firemaking",Woodcutting + Firemaking,yes,medium,"A Woodcutting hatchet, a skilling tool, so Woodcutting + Firemaking only.",Yes,
1409,Iban's staff,"Mage,Quests",Mage,yes,medium,"A usable quest-reward magic weapon (Iban Blast), so Mage; dropped Quests.",Yes,
1426,Black mace,"Melee,Prayer",Melee,yes,medium,"A melee weapon; its minor prayer bonus does not make it Prayer gear, so Melee.",Yes,
1464,Archery ticket,"Misc,Range",Misc,yes,medium,"A Ranging Guild reward token (currency), not gear, so Misc; dropped Range.",Yes,
1468,Dry sticks,"Quests,Woodcutting + Firemaking",Woodcutting + Firemaking,yes,medium,"Kept after the quest for Firemaking torch-lighting, so Woodcutting + Firemaking; dropped Quests.",Yes,
1478,Amulet of accuracy,"Melee,Quests","Melee,Range,Mage",yes,medium,Boosts all attack styles; non-style-specific jewellery spans the three combat tabs; dropped Quests.,Yes,
1511,Logs,"Construction,Fletching,Woodcutting + Firemaking","Woodcutting + Firemaking,Fletching",yes,medium,Burned by Firemaking and fletched into bows; dropped Construction.,Yes,
1525,Grimy snake weed,"Herblore,Quests",Herblore,yes,medium,"A herb cleaned and used in Herblore, not farmed, so Herblore; dropped Quests.",Discuss,"This herb is used to make quest specific potions in 3 different quests. I think this is the litmus for ""If an item is not quest-only, take it out of quests"". Are we happy with that direction?"
1540,Anti-dragon shield,"Melee,Quests","Melee,Range,Mage",yes,medium,A style-agnostic dragonfire shield used in all combat styles; dropped Quests.,Yes,
1550,Garlic,"Herblore,Quests","Cooking,Herblore",yes,medium,Used in Cooking (spicy sauce) and Herblore (Guthix balance); dropped Quests.,Yes,
1601,Diamond,Crafting,"Crafting,Fletching",yes,medium,A cut gem set into jewellery (Crafting) and chiselled into bolt tips (Fletching).,Yes,
1633,Crushed gem,Crafting,Misc,yes,medium,"A failed-gem-cut byproduct with no further use, so Misc; dropped Crafting.",Yes,
1712,Amulet of glory(4),"Melee,Misc,Slayer,Teleports","Melee,Range,Mage,Teleports",yes,medium,All-styles combat amulet with teleport charges; dropped Misc and Slayer.,Yes,
1718,Holy symbol,"Prayer,Quests",Prayer,yes,medium,"A blessed Saradomin symbol with a prayer bonus, so Prayer; dropped Quests.",Yes,
1729,Amulet of defence,Melee,"Melee,Range,Mage",yes,medium,All-styles defence amulet; non-style-specific jewellery spans the three combat tabs.,Yes,
1755,Chisel,"Crafting,Misc","Crafting,Fletching",yes,medium,"A tool used in Crafting (gems, limestone) and Fletching (gem bolt tips); dropped Misc.",Yes,
1777,Bow string,"Crafting,Fletching",Fletching,yes,medium,A spun string consumed by Fletching to string bows; dropped Crafting as the spun output.,Yes,
1779,Flax,"Crafting,Fletching",Crafting,yes,medium,Spun into bow string via Crafting; dropped Fletching as flax itself is not fletched.,Yes,
1907,Wizard's mind bomb,Mage,"Cooking,Mage",yes,medium,"A brewed ale that boosts Magic, so Cooking plus Mage.",Yes,
2142,Cooked meat,"Cooking,Melee","Cooking,Melee,Range,Mage,Slayer",yes,medium,"A cooked edible food, so Cooking plus all four combat tabs per the food rule.",Yes,
2149,Lava eel,"Fishing,Quests","Cooking,Melee,Range,Mage,Slayer",yes,medium,"A cooked edible fish, so Cooking plus all four combat tabs; dropped Quests.",Yes,
2011,Curry,"Cooking,Melee","Cooking,Melee,Range,Mage,Slayer",yes,medium,"A finished edible food (heals 19), so Cooking plus all four combat tabs.",Yes,
2195,Veg ball,Cooking,"Cooking,Melee,Range,Mage,Slayer",yes,medium,"A finished edible gnome food, so Cooking plus all four combat tabs.",Yes,
1925,Bucket,"Cooking,Crafting,Farming,Misc","Cooking,Crafting,Farming",yes,medium,A multi-skill vessel; dropped Misc.,Yes,
